-23.783, 0.0, nan, nan, nan
-21.481, 0.0, nan, nan, nan
-19.178, 0.002, nan, nan, nan
-16.875, 0.0, nan, nan, nan
-16.167, 0.0, nan, nan, nan
-15.458, 0.0, nan, nan, nan
-14.75, 0.001, nan, nan, nan
-14.041, 0.007, nan, nan, nan
-13.333, 0.019, nan, nan, nan
-12.625, 0.067, nan, nan, nan
-11.916, 0.031, 0.003, 0.0, 0.023
-11.562, nan, 0.105, 0.147, 0.109
-11.208, 0.103, 0.299, 0.436, 0.057
-10.8535, nan, 0.085, 0.124, 0.039
-10.499, 0.04, 0.062, 0.037, 0.187
-10.145, nan, 0.297, 0.134, 0.466
-9.791, 0.433, 0.227, 0.573, 0.09
-9.4365, nan, 0.293, 0.313, 0.353
-9.082, 0.735, 0.089, 0.884, 0.929
-8.846, nan, 0.079, 0.74, 0.599
-8.61, nan, 0.797, 0.491, 0.911
-8.374, 0.879, 0.489, 0.911, 0.358
-8.0195, nan, 0.935, 0.785, 0.388
-7.665, 0.746, 0.986, 0.944, 0.555
-6.514, nan, 0.895, 0.995, 0.988
-5.363, 0.877, 1.0, 0.995, 1.0
-4.2115, nan, 0.959, 0.974, 1.0
-3.06, 1.0, 0.986, 0.956, 1.0
-1.9085, nan, 1.0, 1.0, 1.0
-0.757, 1.0, 1.0, 1.0, 1.0
