-18.208, nan, 0.0, 0.0, 0.0, 0.0
-15.906, nan, 0.019, 0.002, 0.0, 0.006
-15.474, nan, 0.033, 0.0, 0.007, 0.0
-15.042, nan, 0.005, 0.072, 0.003, 0.033
-14.611, nan, 0.048, 0.013, 0.003, 0.053
-14.179, nan, 0.075, 0.043, 0.003, 0.083
-13.747, nan, 0.045, 0.005, 0.0, 0.056
-13.603, 0.0, nan, nan, nan, nan
-13.315, nan, 0.092, 0.055, 0.011, 0.068
-12.884, nan, 0.043, 0.129, 0.045, 0.095
-12.452, 0.087, 0.065, 0.032, 0.083, 0.287
-12.02, nan, 0.099, 0.091, 0.12, 0.009
-11.588, nan, 0.384, 0.0, 0.361, 0.406
-11.301, 0.232, nan, nan, nan, nan
-11.157, nan, 0.515, 0.543, 0.421, 0.571
-10.994, 0.371, nan, nan, nan, nan
-10.725, nan, 0.369, 0.5, 0.786, 0.484
-10.687, 0.401, nan, nan, nan, nan
-10.38, 0.869, nan, nan, nan, nan
-10.293, nan, 0.577, 0.607, 0.491, 0.923
-10.073, 0.639, nan, nan, nan, nan
-9.861, nan, 0.821, 0.788, 0.87, 0.728
-9.766, 0.44, nan, nan, nan, nan
-9.459, 0.456, nan, nan, nan, nan
-9.43, nan, 0.525, 0.705, 0.691, 0.847
-9.152, 0.807, nan, nan, nan, nan
-8.998, nan, 0.33, 0.989, 0.918, 0.907
-8.844, 0.935, nan, nan, nan, nan
-8.537, 0.984, nan, nan, nan, nan
-8.23, 0.913, nan, nan, nan, nan
-7.923, 0.962, nan, nan, nan, nan
-7.847, nan, 0.989, 0.973, 1.0, 0.751
-7.616, 0.996, nan, nan, nan, nan
-7.309, 0.941, nan, nan, nan, nan
-7.002, 0.983, nan, nan, nan, nan
-6.695, 0.992, 0.945, 0.883, 1.0, 0.971
-5.544, 1.0, nan, nan, nan, nan
-4.393, 0.995, nan, nan, nan, nan
