-19.78, 0.0, nan, nan, nan, nan
-18.629, 0.0, nan, nan, nan, nan
-17.477, 0.0, 0.0, 0.0, 0.002, 0.003
-17.17, 0.0, nan, nan, nan, nan
-16.863, 0.0, nan, nan, nan, nan
-16.556, 0.003, nan, nan, nan, nan
-16.249, 0.003, nan, nan, nan, nan
-15.942, 0.004, nan, nan, nan, nan
-15.635, 0.008, nan, nan, nan, nan
-15.328, 0.054, nan, nan, nan, nan
-15.175, nan, 0.0, 0.003, 0.044, 0.0
-15.021, 0.0, nan, nan, nan, nan
-14.743, nan, 0.0, 0.001, 0.0, 0.019
-14.714, 0.005, nan, nan, nan, nan
-14.407, 0.001, nan, nan, nan, nan
-14.311, nan, 0.085, 0.0, 0.0, 0.022
-13.88, nan, 0.048, 0.073, 0.025, 0.005
-13.793, 0.0, nan, nan, nan, nan
-13.486, 0.0, nan, nan, nan, nan
-13.448, nan, 0.027, 0.013, 0.029, 0.002
-13.179, 0.077, nan, nan, nan, nan
-13.016, nan, 0.0, 0.114, 0.038, 0.013
-12.872, 0.143, nan, nan, nan, nan
-12.584, nan, 0.094, 0.311, 0.106, 0.122
-12.153, nan, 0.169, 0.356, 0.137, 0.003
-11.721, 0.415, 0.817, 0.132, 0.013, 0.065
-11.289, nan, 0.156, 0.711, 0.021, 0.507
-10.857, nan, 0.621, 0.269, 0.673, 0.327
-10.57, 0.026, nan, nan, nan, nan
-10.426, nan, 0.833, 0.105, 0.556, 0.317
-9.994, nan, 0.703, 0.734, 0.936, 0.607
-9.562, nan, 0.657, 0.997, 0.826, 0.889
-9.13, nan, 0.713, 0.984, 0.761, 0.865
-8.699, nan, 0.771, 0.457, 0.921, 0.964
-8.267, nan, 0.961, 0.789, 0.983, 0.403
-7.116, nan, 0.907, 0.961, 0.923, 0.993
-5.964, nan, 1.0, 0.987, 1.026, 0.913
