-12.0, 0.0, nan, nan, nan
-9.698, 0.007, nan, nan, nan
-9.266, 0.0, nan, nan, nan
-8.834, 0.0, nan, nan, nan
-8.402, 0.19, nan, nan, nan
-7.971, 0.003, nan, nan, nan
-7.539, 0.001, 0.496, 0.103, 0.004
-7.107, 0.999, 0.031, 0.237, 0.109
-6.675, 0.007, 0.114, 0.05, 0.606
-6.244, 0.488, 0.739, 0.563, 0.05
-6.028, nan, 0.584, 0.696, 0.373
-5.812, 0.363, 0.444, 0.775, 0.122
-5.596, nan, 0.801, 0.349, 0.269
-5.38, 0.973, nan, nan, nan
-5.164, nan, 0.067, 0.577, 0.567
-4.948, 0.671, 0.159, 0.673, 0.613
-4.732, nan, 0.819, 0.102, 0.499
-4.517, 0.261, 0.852, 0.514, 0.35
-4.301, nan, 0.984, 0.395, 0.737
-4.085, 0.842, 0.604, 0.974, 0.233
-3.869, nan, 0.601, 0.747, 0.774
-3.653, 0.919, 0.587, 0.992, 0.739
-3.221, 0.786, 0.932, 0.882, 0.823
-2.79, 0.825, nan, nan, nan
-1.638, 0.981, 0.909, 1.0, 0.987
-0.487, 0.994, 0.967, 0.997, 1.0
