Toluene,Indene,Benzofuran,o-xylene,Ethylbenzene,Propylbenzene,Isobutylbenzene,"1,2-Dichlorobenzene",p-Xylene,Indole,Phenol,Thianaphthene,2-Fluorobenzaldehyde,"Thieno[2,3-c]pyridine","1,2-Benzenedithiol",1-Methylpyrrole,n-Butylbenzene,Benzene,n-Methylaniline,m-xylene
-23.462359945590467,-14.905,-27.971,-12.0,-23.07396949073669,-23.783,-13.019,-13.593,-11.696,-19.441,-18.208,-19.78,-14.493,-16.5,-19.5,-14.82,-12.918,-21.311754897841496,-18.957,-11.595
-21.159774852596424,-12.602,-25.668,-9.698,-20.771384397742647,-21.481,-10.717,-11.291,-9.394,-17.138,-15.906,-18.629,-12.191,-15.98,-19.0,-12.518,-10.615,-19.00916980484745,-16.655,-9.292
-18.857189759602377,-12.17,-23.366,-9.266,-18.4687993047486,-19.178,-10.285,-10.859,-8.962,-16.707,-15.474,-17.477,-11.759,-15.5,-18.5,-12.086,-10.184,-16.706584711853402,-16.223,-8.86
-16.55460466660833,-11.739,-21.063,-8.834,-16.166214211754554,-16.875,-9.853,-10.427,-8.53,-16.275,-15.042,-17.17,-11.327,-15.0,-18.0,-11.654,-9.752,-14.403999618859356,-15.791,-8.429
-15.846116945687086,-11.307,-20.355,-8.402,-15.457726490833307,-16.167,-9.422,-9.996,-8.098,-15.843,-14.611,-16.863,-10.896,-14.5,-17.5,-11.222,-9.32,-13.695511897938111,-15.36,-7.997
-15.137629224765842,-10.875,-19.646,-7.971,-14.749238769912065,-15.458,-8.99,-9.564,-7.667,-15.412,-14.179,-16.556,-10.464,-14.0,-17.0,-10.791,-8.888,-12.987024177016869,-14.928,-7.565
-14.429141503844596,-10.443,-18.938,-7.539,-14.040751048990815,-14.75,-8.558,-9.132,-7.235,-14.98,-13.747,-16.249,-10.032,-13.68,-16.5,-10.359,-8.457,-12.278536456095622,-14.496,-7.35
-13.720653782923351,-10.012,-18.584,-7.107,-13.332263328069573,-14.041,-8.126,-8.7,-6.803,-14.548,-13.603,-15.942,-9.6,-13.5,-16.0,-9.927,-8.025,-11.570048735174378,-14.064,-7.134
-13.012166062002107,-9.58,-18.229,-6.675,-12.623775607148328,-13.333,-7.695,-8.269,-6.371,-14.116,-13.315,-15.635,-9.169,-13.24,-15.5,-9.495,-7.593,-10.861561014253134,-13.633,-6.918
-12.30367834108086,-9.364,-17.875,-6.244,-11.915287886227082,-12.625,-7.263,-7.837,-5.94,-13.901,-12.884,-15.328,-8.737,-12.81,-15.0,-9.064,-7.162,-10.153073293331888,-13.201,-6.702
-11.595190620159617,-9.148,-17.521,-6.028,-11.206800165305838,-11.916,-6.831,-7.405,-5.508,-13.685,-12.452,-15.175,-8.305,-12.38,-14.5,-8.632,-6.73,-9.444585572410643,-12.769,-6.486
-10.886702899238372,-8.932,-17.166,-5.812,-10.498312444384592,-11.562,-6.399,-6.974,-5.076,-13.469,-12.02,-15.021,-7.873,-11.95,-14.0,-8.2,-6.298,-8.736097851489399,-12.337,-6.27
-10.178215178317128,-8.716,-16.812,-5.596,-9.789824723463347,-11.208,-5.968,-6.542,-4.644,-13.253,-11.588,-14.743,-7.442,-11.52,-13.5,-7.768,-5.866,-8.027610130568155,-11.906,-6.054
-9.469727457395882,-8.285,-16.458,-5.38,-9.081337002542105,-10.8535,-5.536,-6.11,-4.213,-12.821,-11.301,-14.714,-7.01,-11.09,-13.0,-7.337,-5.435,-7.3191224096469085,-11.474,-5.838
-8.761239736474637,-7.853,-16.104,-5.164,-8.372849281620859,-10.499,-5.104,-5.678,-3.781,-12.389,-11.157,-14.407,-6.578,-10.65,-12.5,-6.905,-5.003,-6.610634688725663,-11.042,-5.407
-8.052752015553393,-7.421,-15.749,-4.948,-7.664361560699614,-10.145,-4.672,-5.247,-3.349,-11.958,-10.994,-14.311,-6.146,-10.22,-12.197,-6.473,-4.571,-5.902146967804419,-10.61,-4.975
-7.34426429463215,-6.989,-15.395,-4.732,-6.95587383977837,-9.791,-4.241,-4.815,-2.918,-11.526,-10.725,-14.1,-5.715,-9.79,-9.894,-6.042,-4.139,-5.193659246883175,-10.179,-4.543
-5.041679201638104,-6.558,-15.041,-4.517,-4.653288746784324,-9.4365,-3.809,-4.383,-2.486,-11.094,-10.687,-13.88,-5.283,-9.36,-9.462,-5.61,-3.708,-2.8910741538891283,-9.747,-4.111
-2.739094108644058,-6.126,-14.687,-4.301,-2.350703653790279,-9.082,-2.658,-3.232,-1.335,-10.662,-10.38,-13.793,-4.132,-8.93,-9.031,-4.459,-2.556,-0.5884890608950831,-8.596,-3.68
-0.4365090156500121,-5.694,-13.978,-4.085,-0.048118560796233,-8.846,-1.506,-2.081,-0.183,-10.231,-10.293,-13.486,-2.98,-8.5,-8.599,-3.307,-1.405,1.7140960320989629,-7.444,-3.248
,-4.543,-13.27,-3.869,,-8.61,,,,-9.079,-10.073,-13.448,,-8.06,-8.167,,,,,-2.816
,-3.392,-12.561,-3.653,,-8.374,,,,-7.928,-9.861,-13.179,,-7.63,-7.735,,,,,-2.384
,,-11.853,-3.221,,-8.0195,,,,,-9.766,-13.016,,-7.2,-7.304,,,,,-1.233
,,-9.55,-2.79,,-7.665,,,,,-9.459,-12.872,,-6.77,-6.872,,,,,0.082
,,-7.248,-1.638,,-6.514,,,,,-9.43,-12.584,,-5.62,-6.44,,,,,
,,-4.945,-0.487,,-5.363,,,,,-9.152,-12.153,,-4.47,-6.009,,,,,
,,,,,-4.2115,,,,,-8.998,-11.721,,,-5.577,,,,,
,,,,,-3.06,,,,,-8.844,-11.289,,,-5.145,,,,,
,,,,,-1.9085,,,,,-8.537,-10.857,,,-4.713,,,,,
,,,,,-0.757,,,,,-8.23,-10.57,,,-4.282,,,,,
,,,,,,,,,,-7.923,-10.426,,,-3.85,,,,,
,,,,,,,,,,-7.847,-9.994,,,-3.418,,,,,
,,,,,,,,,,-7.616,-9.562,,,-2.986,,,,,
,,,,,,,,,,-7.309,-9.13,,,-1.835,,,,,
,,,,,,,,,,-7.002,-8.699,,,-0.684,,,,,
,,,,,,,,,,-6.695,-8.267,,,,,,,,
,,,,,,,,,,-5.544,-7.116,,,,,,,,
,,,,,,,,,,-4.393,-5.964,,,,,,,,
